"","region","country","indicator","input","date"
"90","Europe","Belarus","Ratification of the UN Convention against Torture","Yes",1987
"91","Europe","Belgium","Ratification of the UN Convention against Torture","Yes",1999
"92","Europe","Bosnia and Herzegovina","Ratification of the UN Convention against Torture","Yes",1993
"93","Europe","Bulgaria","Ratification of the UN Convention against Torture","Yes",1986
"94","Europe","Croatia","Ratification of the UN Convention against Torture","Yes",1992
"95","Europe","Cyprus","Ratification of the UN Convention against Torture","Yes",1991
"96","Europe","France","Ratification of the UN Convention against Torture","Yes",1986
"97","Europe","Czech Republic","Ratification of the UN Convention against Torture","Yes",1993
"98","Europe","Denmark","Ratification of the UN Convention against Torture","Yes",1987
"99","Europe","Estonia","Ratification of the UN Convention against Torture","Yes",1991
"100","Europe","Finland","Ratification of the UN Convention against Torture","Yes",1989
"101","Europe","Georgia","Ratification of the UN Convention against Torture","Yes",1994
"102","Europe","Germany","Ratification of the UN Convention against Torture","Yes",1990
"103","Europe","Greece","Ratification of the UN Convention against Torture","Yes",1988
"104","Europe","Holy See","Ratification of the UN Convention against Torture","Yes",2002
"105","Europe","Hungary","Ratification of the UN Convention against Torture","Yes",1987
"106","Europe","Iceland","Ratification of the UN Convention against Torture","Yes",1996
"107","Europe","Italy","Ratification of the UN Convention against Torture","Yes",1989
"108","Europe","Ireland","Ratification of the UN Convention against Torture","Yes",2002
"109","Europe","Latvia","Ratification of the UN Convention against Torture","Yes",1992
"110","Europe","Liechtenstein","Ratification of the UN Convention against Torture","Yes",1990
"111","Europe","Lithuania","Ratification of the UN Convention against Torture","Yes",1996
"112","Europe","Luxembourg","Ratification of the UN Convention against Torture","Yes",1987
"113","Europe","North Macedonia","Ratification of the UN Convention against Torture","Yes",1994
"114","Europe","Romania","Ratification of the UN Convention against Torture","Yes",1990
"115","Europe","San Marino","Ratification of the UN Convention against Torture","Yes",2006
"116","Europe","Serbia","Ratification of the UN Convention against Torture","Yes",2001
"117","Europe","Slovakia","Ratification of the UN Convention against Torture","Yes",1993
"118","Europe","Slovenia","Ratification of the UN Convention against Torture","Yes",1993
"119","Europe","Spain","Ratification of the UN Convention against Torture","Yes",1987
"120","Europe","Sweden","Ratification of the UN Convention against Torture","Yes",1986
"121","Europe","Switzerland","Ratification of the UN Convention against Torture","Yes",1986
"122","Europe","United Kingdom","Ratification of the UN Convention against Torture","Yes",1988
"123","Europe","Malta","Ratification of the UN Convention against Torture","Yes",1990
"124","Europe","Monaco","Ratification of the UN Convention against Torture","Yes",1991
"125","Europe","Montenegro","Ratification of the UN Convention against Torture","Yes",2006
"126","Europe","Netherlands","Ratification of the UN Convention against Torture","Yes",1988
"127","Europe","Norway","Ratification of the UN Convention against Torture","Yes",1986
"128","Europe","Poland","Ratification of the UN Convention against Torture","Yes",1989
"129","Europe","Portugal","Ratification of the UN Convention against Torture","Yes",1989
"130","Europe","Republic of Moldova","Ratification of the UN Convention against Torture","Yes",1995
"131","Europe","Russia","Ratification of the UN Convention against Torture","Yes",1987
"132","Europe","Turkey","Ratification of the UN Convention against Torture","Yes",1988
"133","Europe","Ukraine","Ratification of the UN Convention against Torture","Yes",1987
"134","Middle East","Bahrain","Ratification of the UN Convention against Torture","Yes",1998
"135","Middle East","Egypt","Ratification of the UN Convention against Torture","Yes",1986
"136","Middle East","Iran","Ratification of the UN Convention against Torture","No",NA
"137","Middle East","Iraq","Ratification of the UN Convention against Torture","Yes",2011
"138","Middle East","Israel","Ratification of the UN Convention against Torture","Yes",1991
"139","Middle East","Jordan","Ratification of the UN Convention against Torture","Yes",1991
"140","Middle East","Kuwait","Ratification of the UN Convention against Torture","Yes",1996
"141","Middle East","Lebanon","Ratification of the UN Convention against Torture","Yes",2008
"142","Middle East","Libya","Ratification of the UN Convention against Torture","Yes",1989
"143","Middle East","Morocco","Ratification of the UN Convention against Torture","Yes",1993
"144","Middle East","State of Palestine","Ratification of the UN Convention against Torture","Yes",2014
"145","Middle East","Oman","Ratification of the UN Convention against Torture","Yes",2020
"146","Middle East","Qatar","Ratification of the UN Convention against Torture","Yes",2000
"147","Middle East","Saudi Arabia","Ratification of the UN Convention against Torture","Yes",1997
"148","Middle East","Syria","Ratification of the UN Convention against Torture","Yes",2004
"149","Middle East","Tunisia","Ratification of the UN Convention against Torture","Yes",1988
"150","Middle East","United Arab Emirates","Ratification of the UN Convention against Torture","Yes",2012
"151","Middle East","Yemen","Ratification of the UN Convention against Torture","Yes",1991
"152","Asia-Pacific","Afghanistan","Ratification of the UN Convention against Torture","Yes",1987
"153","Asia-Pacific","Australia","Ratification of the UN Convention against Torture","Yes",1989
"154","Asia-Pacific","Azerbaijan","Ratification of the UN Convention against Torture","Yes",1996
"155","Asia-Pacific","Bangladesh","Ratification of the UN Convention against Torture","Yes",1998
"156","Asia-Pacific","Bhutan","Ratification of the UN Convention against Torture","No",NA
"157","Asia-Pacific","Brunei Darussalam","Ratification of the UN Convention against Torture","No",NA
"158","Asia-Pacific","Cambodia","Ratification of the UN Convention against Torture","Yes",1992
"159","Asia-Pacific","China","Ratification of the UN Convention against Torture","Yes",1988
"160","Asia-Pacific","Cook Islands","Ratification of the UN Convention against Torture","No",NA
"161","Asia-Pacific","Fiji","Ratification of the UN Convention against Torture","Yes",2016
"162","Asia-Pacific","Democratic People's Republic of Korea","Ratification of the UN Convention against Torture","No",NA
"163","Asia-Pacific","India","Ratification of the UN Convention against Torture","No",NA
"164","Asia-Pacific","Indonesia","Ratification of the UN Convention against Torture","Yes",1998
"165","Asia-Pacific","Japan","Ratification of the UN Convention against Torture","Yes",1999
"166","Asia-Pacific","Kazakhstan","Ratification of the UN Convention against Torture","Yes",1998
"167","Asia-Pacific","Kiribati","Ratification of the UN Convention against Torture","Yes",2019
"168","Asia-Pacific","Kyrgyzstan","Ratification of the UN Convention against Torture","Yes",1997
"169","Asia-Pacific","Lao People's Democratic Republic","Ratification of the UN Convention against Torture","Yes",2012
"170","Asia-Pacific","Marshall Islands","Ratification of the UN Convention against Torture","Yes",2018
"171","Asia-Pacific","Malaysia","Ratification of the UN Convention against Torture","No",NA
"172","Asia-Pacific","Maldives","Ratification of the UN Convention against Torture","Yes",2004
"173","Asia-Pacific","Micronesia","Ratification of the UN Convention against Torture","No",NA
"174","Asia-Pacific","Mongolia","Ratification of the UN Convention against Torture","Yes",2002
"175","Asia-Pacific","Myanmar","Ratification of the UN Convention against Torture","No",NA
"176","Asia-Pacific","Nauru","Ratification of the UN Convention against Torture","Yes",2012
"177","Asia-Pacific","Nepal","Ratification of the UN Convention against Torture","Yes",1991
"178","Asia-Pacific","New Zealand","Ratification of the UN Convention against Torture","Yes",1989
"179","Asia-Pacific","Niue","Ratification of the UN Convention against Torture","No",NA
"180","Asia-Pacific","Palau","Ratification of the UN Convention against Torture","No",NA
"181","Asia-Pacific","Papua New Guinea","Ratification of the UN Convention against Torture","No",NA
"182","Asia-Pacific","Pakistan","Ratification of the UN Convention against Torture","Yes",2010
"183","Asia-Pacific","Philippines","Ratification of the UN Convention against Torture","Yes",1986
"184","Asia-Pacific","Republic of Korea","Ratification of the UN Convention against Torture","Yes",1995
"185","Asia-Pacific","Samoa","Ratification of the UN Convention against Torture","Yes",2019
"186","Asia-Pacific","Solomon Islands","Ratification of the UN Convention against Torture","No",NA
"187","Asia-Pacific","Singapore","Ratification of the UN Convention against Torture","No",NA
"188","Asia-Pacific","Sri Lanka","Ratification of the UN Convention against Torture","Yes",1994
"189","Asia-Pacific","Tajikistan","Ratification of the UN Convention against Torture","Yes",1995
"190","Asia-Pacific","Thailand","Ratification of the UN Convention against Torture","Yes",2007
"191","Asia-Pacific","Timor-Leste","Ratification of the UN Convention against Torture","Yes",2003
"192","Asia-Pacific","Tonga","Ratification of the UN Convention against Torture","No",NA
"193","Asia-Pacific","Turkmenistan","Ratification of the UN Convention against Torture","Yes",1999
"194","Asia-Pacific","Tuvalu","Ratification of the UN Convention against Torture","Yes",2024
"195","Asia-Pacific","Uzbekistan","Ratification of the UN Convention against Torture","Yes",1995
"196","Asia-Pacific","Vanuatu","Ratification of the UN Convention against Torture","Yes",2011
"197","Asia-Pacific","Viet Nam","Ratification of the UN Convention against Torture","Yes",2015
"198","Americas","Antigua and Barbuda","Ratification of Optional Protocol (OPCAT)","No",NA
"199","Americas","Argentina","Ratification of Optional Protocol (OPCAT)","Yes",2004
"200","Americas","Bahamas","Ratification of Optional Protocol (OPCAT)","No",NA
"201","Americas","Barbados","Ratification of Optional Protocol (OPCAT)","No",NA
"202","Americas","Belize","Ratification of Optional Protocol (OPCAT)","Yes",2015
"203","Americas","Bolivia","Ratification of Optional Protocol (OPCAT)","Yes",2006
"204","Americas","Brazil","Ratification of Optional Protocol (OPCAT)","Yes",2008
"205","Americas","Canada","Ratification of Optional Protocol (OPCAT)","No",NA
"206","Americas","Chile","Ratification of Optional Protocol (OPCAT)","Yes",2008
"207","Americas","Colombia","Ratification of Optional Protocol (OPCAT)","No",NA
"208","Americas","Costa Rica","Ratification of Optional Protocol (OPCAT)","Yes",2005
"209","Americas","Cuba","Ratification of Optional Protocol (OPCAT)","No",NA
"210","Americas","Dominica","Ratification of Optional Protocol (OPCAT)","No",NA
"211","Americas","Dominican Republic","Ratification of Optional Protocol (OPCAT)","No",NA
"212","Americas","Ecuador","Ratification of Optional Protocol (OPCAT)","Yes",2010
"213","Americas","El Salvador","Ratification of Optional Protocol (OPCAT)","No",NA
"214","Americas","Grenada","Ratification of Optional Protocol (OPCAT)","No",NA
"215","Americas","Guatemala","Ratification of Optional Protocol (OPCAT)","Yes",2008
"216","Americas","Guyana","Ratification of Optional Protocol (OPCAT)","No",NA
"217","Americas","Haiti","Ratification of Optional Protocol (OPCAT)","No",NA
"218","Americas","Honduras","Ratification of Optional Protocol (OPCAT)","Yes",2006
"219","Americas","Jamaica","Ratification of Optional Protocol (OPCAT)","No",NA
"220","Americas","Mexico","Ratification of Optional Protocol (OPCAT)","Yes",2005
"221","Americas","Nicaragua","Ratification of Optional Protocol (OPCAT)","Yes",2005
"222","Americas","Panama","Ratification of Optional Protocol (OPCAT)","Yes",2011
"223","Americas","Paraguay","Ratification of Optional Protocol (OPCAT)","Yes",2005
"224","Americas","Peru","Ratification of Optional Protocol (OPCAT)","Yes",2006
"225","Americas","Saint Kitts and Nevis","Ratification of Optional Protocol (OPCAT)","No",NA
"226","Americas","Saint Lucia","Ratification of Optional Protocol (OPCAT)","No",NA
"227","Americas","Saint Vincent and the Grenadines","Ratification of Optional Protocol (OPCAT)","No",NA
"228","Americas","Suriname","Ratification of Optional Protocol (OPCAT)","No",NA
"229","Americas","Trinidad and Tobago","Ratification of Optional Protocol (OPCAT)","No",NA
"230","Americas","United States","Ratification of Optional Protocol (OPCAT)","No",NA
"231","Americas","Uruguay","Ratification of Optional Protocol (OPCAT)","Yes",2005
"232","Americas","Venezuela","Ratification of Optional Protocol (OPCAT)","No",NA
"233","Africa","Algeria","Ratification of Optional Protocol (OPCAT)","No",NA
"234","Africa","Angola","Ratification of Optional Protocol (OPCAT)","No",NA
"235","Africa","Benin","Ratification of Optional Protocol (OPCAT)","Yes",2006
"236","Africa","Botswana","Ratification of Optional Protocol (OPCAT)","No",NA
"237","Africa","Burkina Faso","Ratification of Optional Protocol (OPCAT)","Yes",2010
"238","Africa","Burundi","Ratification of Optional Protocol (OPCAT)","Yes",2013
"239","Africa","Cabo Verde","Ratification of Optional Protocol (OPCAT)","Yes",2016
"240","Africa","Cameroon","Ratification of Optional Protocol (OPCAT)","No",NA
"241","Africa","Central African Republic","Ratification of Optional Protocol (OPCAT)","Yes",2016
"242","Africa","Chad","Ratification of Optional Protocol (OPCAT)","No",NA
"243","Africa","Comoros","Ratification of Optional Protocol (OPCAT)","No",NA
"244","Africa","Congo","Ratification of Optional Protocol (OPCAT)","Yes",2024
"245","Africa","Cote d'Ivoire","Ratification of Optional Protocol (OPCAT)","Yes",2023
"246","Africa","Democratic Republic of the Congo","Ratification of Optional Protocol (OPCAT)","Yes",2010
"247","Africa","Djibouti","Ratification of Optional Protocol (OPCAT)","No",NA
"248","Africa","Equatorial Guinea","Ratification of Optional Protocol (OPCAT)","No",NA
